iter	Passed	Remaining
156	14955	80302
157	15032	80110
158	15099	79864
159	15176	79678
160	15251	79480
161	15313	79211
162	15387	79013
163	15455	78783
164	15509	78487
165	15572	78237
166	15626	77945
167	15696	77732
168	15753	77461
169	15814	77210
170	15875	76963
171	15932	76696
172	15989	76437
173	16066	76270
174	16140	76092
175	16241	76041
176	16313	75854
177	16382	75653
178	16455	75476
179	16519	75257
180	16592	75079
181	16650	74836
182	16703	74573
183	16760	74328
184	16815	74077
185	16871	73834
186	16932	73615
187	16986	73366
188	17043	73135
189	17114	72963
190	17223	72953
191	17432	73360
192	17585	73529
193	17747	73735
194	17873	73786
195	18012	73887
196	18096	73764
197	18235	73862
198	18318	73733
199	18411	73644
200	18471	73427
201	18548	73274
202	18618	73096
203	18673	72863
204	18745	72694
205	18805	72481
206	18892	72374
207	18960	72195
208	19092	72257
209	19174	72133
210	19261	72024
211	19317	71804
212	19406	71702
213	19495	71606
214	19589	71524
215	19704	71519
216	19793	71420
217	19871	71281
218	19938	71103
219	20007	70937
220	20067	70734
221	20125	70530
222	20186	70334
223	20240	70117
224	20291	69893
225	20367	69754
226	20452	69645
227	20534	69529
228	20601	69360
229	20673	69209
230	20775	69163
231	20849	69019
232	20920	68868
233	20975	68664
234	21036	68479
235	21189	68597
236	21390	68864
237	21533	68943
238	21635	68889
239	21709	68747
240	21821	68725
241	21872	68510
242	21926	68304
243	22023	68237
244	22130	68198
245	22197	68035
246	22341	68109
247	22493	68207
248	22625	68241
249	22756	68270
250	22990	68604
251	23371	69371
252	23647	69821
253	23803	69911
254	23919	69882
255	24115	70086
256	24428	70624
257	24656	70912
258	24792	70930
259	24875	70798
260	24966	70690
261	25054	70572
262	25166	70524
263	25291	70510
264	25402	70456
265	25553	70511
266	25650	70417
267	25722	70255
268	25800	70111
269	25884	69984
270	25953	69815
271	26038	69690
272	26132	69590
273	26223	69483
274	26318	69384
275	26407	69270
276	26496	69157
277	26629	69161
278	26764	69165
279	26888	69141
280	26989	69057
281	27086	68965
282	27180	68862
283	27287	68796
284	27381	68693
285	27477	68597
286	27587	68537
287	27677	68425
288	27767	68312
289	27883	68267
290	28029	68290
291	28138	68227
292	28258	68186
293	28372	68133
294	28474	68049
295	28560	67927
296	28663	67847
297	28756	67741
298	28844	67625
299	28943	67535
300	29081	67535
301	29219	67533
302	29326	67461
303	29437	67396
304	29520	67268
305	29599	67130
306	29713	67072
307	29789	66930
308	29875	66808
309	29956	66677
310	30037	66545
311	30141	66465
312	30234	66360
313	30322	66245
314	30415	66141
315	30529	66082
316	30651	66039
317	30774	66000
318	30869	65900
319	30971	65815
320	31058	65697
321	31158	65606
322	31251	65502
323	31342	65393
324	31435	65289
325	31542	65214
326	31637	65113
327	31742	65033
328	31939	65140
329	32246	65471
330	32346	65377
331	32385	65161
332	32417	64933
333	32444	64694
334	32475	64466
335	32508	64242
336	32546	64030
337	32648	63945
338	32763	63883
339	32843	63755
340	32891	63564
341	32949	63393
342	32986	63184
343	33013	62956
344	33041	62730
345	33070	62508
346	33099	62287
347	33128	62068
348	33184	61900
349	33212	61681
350	33243	61467
351	33270	61248
352	33296	61028
353	33323	60810
354	33349	60591
355	33375	60375
356	33416	60187
357	33445	59976
358	33471	59764
359	33497	59551
360	33579	59438
361	33611	59237
362	33745	59216
363	33950	59320
364	34051	59241
365	34168	59188
366	34277	59121
367	34347	58988
368	34412	58846
369	34531	58796
370	34649	58744
371	34728	58628
372	34792	58484
373	34854	58338
374	34905	58175
375	34969	58034
376	35022	57875
377	35074	57714
378	35117	57541
379	35166	57377
380	35211	57206
381	35254	57034
382	35296	56861
383	35344	56698
384	35396	56542
385	35447	56384
386	35486	56209
387	35532	56045
388	35609	55930
389	35727	55881
390	35784	55735
391	35821	55560
392	35847	55367
393	35872	55174
394	35898	54984
395	35928	54800
396	36051	54757
397	36105	54611
398	36143	54442
